ASSET_Y_COL,ASSET_X_COL,OLS_WINDOW_DAYS,ZSCORE_WINDOW_DAYS,BETA_P_VALUE_THRESHOLD,MIN_OLS_R_SQUARED_THRESHOLD,ENTRY_ZSCORE,EXIT_ZSCORE,STOP_LOSS_ZSCORE,POSITION_SIZE_PCT,MIN_NOMINAL_PER_LEG,TAKER_FEE_PCT,SLIPPAGE_PCT,SL_COOLDOWN_HOURS,PNL_STOP_LOSS_PCT,INITIAL_CAPITAL,RISK_FREE_RATE_ANNUAL,RESAMPLE_ALL_DATA_TO_MINUTES,DEFAULT_DATA_FREQ_MINUTES,BETA_MIN_THRESHOLD,BETA_MAX_THRESHOLD,BETA_ROLL_STD_MAX,TRAIL_STOP_PCT,Initial Equity,Final Equity,Total Return (%),CAGR (%),Max Drawdown (%),"Sharpe Ratio (Annualized, Daily Ret)","Sortino Ratio (Annualized, Daily Ret)",Calmar Ratio,Number of Trades,Win Rate (%),Average Win ($),Average Loss ($),Profit Factor,Total Fees Paid ($)
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,2.0,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1480.0799431835287,-25.99600284082356,-95.67899875732168,-9.817915750183515,-3.3776191540209135,-2.9060686192599885,-9.745347300982214,31,25.806451612903224,10.180992275716385,-26.146434566182656,0.13543776669179777,11.080784095353868
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,2.25,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1522.6142043790896,-23.869289781045524,-94.1924526216363,-7.208251033355784,-3.5222037175234173,-1.882927497021943,-13.06731025123375,25,44.0,14.953404459118623,-45.84808890508675,0.2562615756551123,8.916552239859367
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,2.25,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1570.3107784594413,-21.484461077027937,-91.9871535370579,-7.208251033355784,-3.724982893440519,-1.8091987902941618,-12.761369312943241,25,40.0,12.845452392547248,-37.20958303106873,0.23014595248795153,9.141923646223642
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,3,0.05,0.6,2.25,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1624.4046971755054,-18.779765141224736,-88.59010023947343,-7.244340657187188,-4.027368692317029,-2.0505018003499575,-12.228870014772461,26,34.61538461538461,12.831208995825202,-28.886834340407113,0.23515878956274988,9.622923468483284
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,1.5,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1455.5363859269303,-27.223180703653483,-96.37089847280058,-13.254032545751837,-5.553846680141878,-5.383267170304951,-7.271062458926075,27,51.85185185185185,19.53762335408791,-62.92280911072192,0.33438617499140316,10.118374062205605
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,1.5,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1582.114248082924,-20.8942875958538,-91.33584596805247,-7.792109711230233,-3.6613345848268803,-3.938327885483296,-11.721581106130524,34,50.0,13.911970753366436,-38.49348557201795,0.36141104258637097,12.902902902843174
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,1.5,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1463.27124425956,-26.836437787021993,-96.16451977287997,-9.124817207727265,-4.411037170151627,-3.19574973190098,-10.538788622685392,36,38.88888888888889,8.62036515425171,-29.882448540907465,0.183575549668642,13.204310764231225
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,1.75,0.25,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1484.044054045329,-25.79779729773355,-95.55668888444977,-15.015832181837208,-6.7933591940481985,-6.344540144350665,-6.363729144498089,22,50.0,21.82542982013214,-68.73110306326447,0.31754808008890284,8.305918316724647
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,1.75,0.5,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1656.2459663774875,-17.187701681125624,-86.02791785824729,-8.771102915724605,-4.027908613253125,-2.790234965161158,-9.808107222641144,27,59.25925925925925,15.155150482860432,-53.294221940752685,0.4136256135290463,10.397107121828082
MEXCFTS_PERP_SPX_USDT,MEXCFTS_PERP_GIGA_USDT,7,7,0.05,0.6,1.75,0.75,4.0,0.5,5.0,0.0002,0.01,8,0.1,2000,0.02,15,5,0.3,3.0,0.25,1.0,2000,1545.8892109279675,-22.70553945360162,-93.19624992467965,-9.19909655280209,-4.368042913259815,-2.5567456547145886,-10.131022040016704,27,51.85185185185185,10.942334060542905,-46.71565122458713,0.25225062171450435,10.045006465395547
